Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: Galves,Water,Proof point: J.D. Power,Proof point: KBB
2021,BMW,X7,xDrive40i,AWD,SUV,No,"",B35132A,5UXCW2C01M9H97641,Yellow,20,https://cdn.max.auto/102612/5UXCW2C01M9H97641/68800a2ef5f7c7d4d52df3c2.jpg,S,Oil Change,"",87,0,0,0,3,"89,613",Retail,Black,"$34,398.00",2025-10-08T10:31:00.000Z,"","$38,331.58","-$3,933.58","$28,550.00","$33,450.00",90%,100%,2,5,25,333,46,17,"$3,838.00 below","",On,4.8%,"11,294",541,"$32,400.00","-$5,931.58","$30,625.00","-$7,706.58","$10,402.00 below","$1,067.00 below"
2023,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35202A,5UXCR6C04P9R13897,Green,20,https://cdn.max.auto/102612/5UXCR6C04P9R13897/688162a6f5f7c7d4d5f1f3e2.jpg,S,Oil Change|BMW CPO,"",87,0,0,0,5,"31,979",Retail,White,"$48,898.00",2025-10-08T10:31:00.000Z,"","$51,999.96","-$3,101.96","$39,800.00","$49,575.00",96%,103%,5,16,312,698,57,42,"$1,832.00 below","",On,2.6%,"5,728",147,"$44,900.00","-$7,099.96","$40,475.00","-$11,524.96","$6,252.00 below","$1,526.00 above"
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35419,5UX53GP01S9128286,Green,13,https://cdn.max.auto/102612/5UX53GP01S9128286/688bb2e8a01cd1cf596a43bb.jpg,S,,"",69,1,0.1,0,3,2,Retail,Black,"$57,705.00","","$57,705.00","$54,642.00","$3,063.00","","",104%,98%,60,81,75,115,22,29,"$2,036.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35393,5UX53GP02S9124909,Green,11,https://cdn.max.auto/102612/5UX53GP02S9124909/688d2ea2a01cd1cf59c90e3c.jpg,S,,"",69,0,0,0,2,4,Retail,Black,"$56,005.00","","$56,005.00","$53,057.00","$2,948.00","","",101%,95%,36,81,48,115,22,29,$336.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,5 Series,530i xDrive,AWD,Sedan,No,"",B35399,WBA53FJ03TCV80651,Green,13,https://cdn.max.auto/102612/WBA53FJ03TCV80651/688b96b9a01cd1cf590b4a36.jpg,S,,"",69,1,0.1,0,2,6,Retail,White,"$66,810.00","","$66,810.00","$63,107.00","$3,703.00","","",101%,95%,13,22,18,70,58,66,$346.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X2,xDrive28i,AWD,SUV,No,"",B35387,WBX63GM06S5381723,Green,13,https://cdn.max.auto/102612/WBX63GM06S5381723/688a5dd6a01cd1cf599f5688.jpg,S,,"",69,1,0.1,0,3,7,Retail,Gray,"$52,220.00","","$52,220.00","$49,542.00","$2,678.00","","",116%,110%,15,18,18,23,90,101,"$7,080.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X1,xDrive28i,AWD,SUV,No,"",B35403,WBX73EF09S5387392,Green,13,https://cdn.max.auto/102612/WBX73EF09S5387392/688b5af7a01cd1cf5945ffd6.jpg,S,,"",69,0,0,0,4,5,Retail,White,"$47,645.00","","$47,645.00","$45,287.00","$2,358.00","","",103%,98%,47,79,66,104,34,46,"$1,479.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,X3,M40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35116A,5UX83DP00P9P51725,Green,20,https://cdn.max.auto/102612/5UX83DP00P9P51725/688a79eaa01cd1cf5911a27f.jpg,S,Oil Change|BMW CPO,"",77,1,0.1,1,4,"51,075",Retail,White,"$45,698.00",2025-10-06T07:24:00.000Z,"","$44,527.54","$1,170.46","$38,500.00","$44,025.00",101%,99%,3,5,1221,1393,52,112,$541.00 above,"",On,2.1%,"25,670",543,"$39,200.00","-$5,327.54","$37,600.00","-$6,927.54","$6,077.00 below",$788.00 above
2023,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35231A,5UXCR6C03P9R41772,Green,20,https://cdn.max.auto/102612/5UXCR6C03P9R41772/688b5afaa01cd1cf594638aa.jpg,S,Oil Change|BMW CPO,"",77,0,0,0,3,"42,160",Sold,Blue,"$47,698.00",2025-10-06T09:11:00.000Z,"","$46,615.30","$1,082.70","$37,450.00","$45,650.00",99%,97%,20,48,97,327,72,94,$565.00 below,"",On,1.5%,"6,084",94,"$36,800.00","-$9,815.30","$36,900.00","-$9,715.30","$4,602.00 below","$2,108.00 above"
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35422,5UX53GP00S9132717,Green,9,https://cdn.max.auto/102612/5UX53GP00S9132717/689111a8a01cd1cf591fccab.jpg,S,,"",69,0,0,0,1,3,Retail,Gray,"$56,005.00","","$56,005.00","$53,057.00","$2,948.00","","",101%,95%,36,81,48,115,22,29,$336.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,5 Series,530i xDrive,AWD,Sedan,No,"",B35434,WBA53FJ02TCV88482,Green,13,https://cdn.max.auto/102612/WBA53FJ02TCV88482/688bb2e8a01cd1cf596a4cc7.jpg,S,,"",69,0,0,0,4,2,Retail,Blue,"$66,660.00","","$66,660.00","$62,967.00","$3,693.00","","",100%,95%,13,22,18,70,58,66,$196.00 above,$0.00 below,On,0.7%,"9,504",70,"","","","","",""
2025,BMW,X2,xDrive28i,AWD,SUV,No,"",B35432,WBX63GM02S5391312,Green,13,https://cdn.max.auto/102612/WBX63GM02S5391312/688cd6aaa01cd1cf598328bd.jpg,S,,"",69,0,0,0,1,6,Retail,Green,"$54,720.00","","$54,720.00","$51,867.00","$2,853.00","","",121%,115%,18,18,21,23,90,101,"$9,580.00 above",$0.00 below,On,2.5%,"5,561",140,"","","","","",""
2023,Hyundai,Santa Fe,Calligraphy,AWD,SUV,No,"",B35057B,5NMS5DAL3PH516339,Yellow,20,https://cdn.max.auto/102612/5NMS5DAL3PH516339/688e91bfa01cd1cf597438ca.jpg,S,Oil Change,"",73,0,0,0,1,"60,386",Retail,Gray,"$26,898.00",2025-10-08T10:32:00.000Z,"","$29,025.93","-$2,127.93","$23,525.00","$26,300.00",96%,104%,10,23,1205,1611,48,148,$987.00 below,"",On,4.0%,"3,346",133,"$24,100.00","-$4,925.93","$22,425.00","-$6,600.93","$3,852.00 below",$49.00 above
2024,BMW,X5,M60i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B33975A,5UX33EU09R9T35275,Green,20,https://cdn.max.auto/102612/5UX33EU09R9T35275/68939f9c0ae5367095093441.jpg,S,Oil Change|BMW CPO,"",74,0,0,0,2,"39,048",Retail,Gray,"$71,998.00",2025-10-06T09:12:00.000Z,"","$73,223.00","-$1,225.00","$63,800.00","$73,925.00","","","","","","","","","","",On,4.1%,"26,563","1,098","$59,900.00","-$13,323.00","$58,125.00","-$15,098.00","$13,402.00 below","$2,970.00 above"
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35440,5UX53GP09S9133154,Green,11,https://cdn.max.auto/102612/5UX53GP09S9133154/6893beff0ae536709570213b.jpg,S,,"",69,1,0.1,0,4,3,Retail,Gray,"$57,105.00","","$57,105.00","$54,082.00","$3,023.00","","",103%,97%,55,81,69,115,22,29,"$1,436.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35421A,WBX73EF02P5Y25001,Green,20,https://cdn.max.auto/102612/WBX73EF02P5Y25001/689278130ae5367095403208.jpg,S,Oil Change|BMW CPO,"",70,0,0,0,5,"29,830",Retail,White,"$32,998.00",2025-10-10T06:27:00.000Z,"","$32,774.15",$223.85,"$26,900.00","$32,675.00",98%,97%,8,19,28,71,55,43,$810.00 below,"",On,3.7%,"14,791",550,"$27,900.00","-$4,874.15","$26,000.00","-$6,774.15","$5,352.00 below","$1,809.00 above"
