Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: Galves,Water,Proof point: J.D. Power,Proof point: KBB
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34494,WBA53FJ07SCU15426,Green,20,https://cdn.max.auto/102612/WBA53FJ07SCU15426/68b62ca1085a2841a91fe2da.jpg,S,Oil Change|BMW CPO,"",47,0,0,0,6,"5,328",Retail,Black,"$59,498.00",2025-10-07T05:46:00.000Z,"","$55,478.67","$4,019.33","$47,050.00","$56,650.00","","","","","","","","","","",On,1.9%,"25,353",495,"$48,900.00","-$6,578.67","$43,350.00","-$12,128.67","$5,973.00 above",""
2025,BMW,3 Series,330i xDrive,AWD,Sedan,No,"",B35573,3MW89CW01S8F75831,Green,13,https://cdn.max.auto/102612/3MW89CW01S8F75831/68b08457085a2841a98ff222.jpg,S,,"",47,0,0,0,1,14,Retail,Gray,"$55,175.00","","$55,175.00","$52,420.70","$2,754.30","","",107%,102%,68,70,86,94,35,51,"$3,569.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35592,5UX23EU03T9170715,Green,12,https://cdn.max.auto/102612/5UX23EU03T9170715/68c0bfce085a2841a96f8e5a.jpg,S,,"",108,0,0,0,2,4,Retail,Blue,"$76,975.00","","$76,975.00","$72,557.00","$4,418.00","","",98%,92%,53,174,72,347,53,62,"$1,812.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35596,5UX53GP01T9171446,Green,13,https://cdn.max.auto/102612/5UX53GP01T9171446/68b8a566085a2841a9d44657.jpg,S,,"",40,0,0,0,0,5,Retail,Blue,"$60,890.00","","$60,890.00","$57,602.00","$3,288.00","","",106%,100%,310,352,391,477,180,258,"$3,286.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35597,5UX53GP05T9171076,Green,13,https://cdn.max.auto/102612/5UX53GP05T9171076/68b8a566085a2841a9d443d1.jpg,S,,"",45,1,0.1,0,9,8,Retail,White,"$54,140.00","","$54,140.00","$51,322.00","$2,818.00","","",94%,89%,15,352,20,477,180,258,"$3,464.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,M5, ,AWD,Sedan,No,"",B35584,WBS83FK01TCW09698,Green,9,https://cdn.max.auto/102612/WBS83FK01TCW09698/68b1e04a085a2841a9ab242e.jpg,S,,"",47,2,0.3,0,5,13,Retail,Non-Color,"$146,950.00","","$146,950.00","$137,820.70","$9,129.30","","",112%,105%,10,10,10,10,60,60,"$15,632.00 above",$0.00 below,On,13.0%,"17,087","2,229","","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35579,WBX73EF01T5417633,Green,11,https://cdn.max.auto/102612/WBX73EF01T5417633/68b0dc2b085a2841a9f9b5b0.jpg,S,,"",47,0,0,0,0,7,Retail,Gray,"$46,755.00","","$46,755.00","$44,457.00","$2,298.00","","",95%,91%,7,126,8,169,190,298,"$2,234.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35587,WBX73EF03T5424681,Green,12,https://cdn.max.auto/102612/WBX73EF03T5424681/68b49871085a2841a92d4306.jpg,S,,"",47,0,0,0,1,7,Retail,Black,"$49,705.00","","$49,705.00","$47,202.00","$2,503.00","","",101%,96%,86,126,106,169,190,298,$716.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2008,BMW,7 Series,750Li,RWD,Sedan,No,"",BL34326A,WBAHN83558DT85311,Red,0,"",S,,"",46,0,0,0,0,"175,263",Wholesale,"",$0.00,"","","$2,875.00","","$1,775.00","$6,150.00","","","","","","","","","","",On,0.0%,0,0,$950.00,"-$1,925.00","$1,075.00","-$1,800.00","",""
2017,INFINITI,QX50,,AWD,SUV,No,"",B35098C,JN1BJ0RR8HM404811,Red,20,https://cdn.max.auto/102612/JN1BJ0RR8HM404811/68bd9747085a2841a983576e.jpg,S,Oil Change,"",46,0,0,0,3,"81,317",Retail,Blue,"$14,998.00",2025-10-08T10:38:00.000Z,"","$14,563.39",$434.61,"$9,875.00","$13,925.00",100%,97%,12,19,106,174,41,57,$3.00 above,"",On,3.0%,"9,843",292,"$10,950.00","-$3,613.39","$9,750.00","-$4,813.39",$348.00 above,"$1,377.00 above"
2025,BMW,4 Series,M440i xDrive,AWD,Coupe,Yes,BMW Certified Pre-Owned (CPOV),B35538A,WBA83DA0XSCT14463,Yellow,20,https://cdn.max.auto/102612/WBA83DA0XSCT14463/68bf6015085a2841a91dda53.jpg,S,,"",46,0,0,0,1,"3,554",Retail,Red,"$64,998.00",2025-10-08T10:39:00.000Z,"","$60,407.62","$4,590.38","$58,600.00","$63,300.00",99%,92%,7,12,293,324,54,60,$513.00 below,"",On,3.1%,"24,713",771,"$60,500.00",$92.38,"$51,175.00","-$9,232.62","$4,973.00 above",$847.00 above
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35547,5UX23EU03T9069156,Green,13,https://cdn.max.auto/102612/5UX23EU03T9069156/68b8a569085a2841a9d45082.jpg,S,,"",55,2,0.3,0,11,93,Retail,Black,"$76,475.00","","$76,475.00","$72,187.00","$4,288.00","","",97%,92%,46,174,64,347,53,62,"$2,312.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35548,5UX53GP09S9064708,Green,13,https://cdn.max.auto/102612/5UX53GP09S9064708/68b8a566085a2841a9d4467c.jpg,S,,"",55,0,0,0,5,96,Retail,Gray,"$56,905.00","","$56,905.00","$53,987.00","$2,918.00","","",102%,97%,48,81,61,115,22,29,"$1,236.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),B35416A,3MW89FF08P8C83988,Green,20,https://cdn.max.auto/102612/3MW89FF08P8C83988/68b9e1f7085a2841a90a8fd8.jpg,S,Oil Change|BMW CPO,"",45,1,0.1,0,5,"8,195",Retail,Blue,"$38,798.00",2025-10-13T07:27:00.000Z,"","$36,127.34","$2,670.66","$33,350.00","$39,400.00",98%,91%,4,13,594,818,54,28,$822.00 below,"",On,2.4%,"8,445",200,"$33,900.00","-$2,227.34","$31,725.00","-$4,402.34","$3,752.00 below","$2,381.00 below"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34309,WBX73EF04S5146484,Green,20,https://cdn.max.auto/102612/WBX73EF04S5146484/68b5f0da085a2841a98b4b77.jpg,S,Oil Change|BMW CPO,"",45,1,0.1,1,5,"7,810",Retail,White,"$39,998.00",2025-10-09T06:48:00.000Z,"","$36,524.17","$3,473.83","$35,450.00","$40,975.00",94%,86%,1,16,4,36,65,53,"$2,347.00 below","",On,1.3%,"14,929",194,"$35,300.00","-$1,224.17","$31,400.00","-$5,124.17","$4,152.00 below","$1,457.00 above"
2025,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34543,3MW89CW00S8F20271,Green,20,https://cdn.max.auto/102612/3MW89CW00S8F20271/68b5f0da085a2841a98b4389.jpg,S,Oil Change|BMW CPO,"",45,0,0,0,2,"7,276",Retail,Gray,"$46,398.00",2025-10-09T06:48:00.000Z,"","$42,514.73","$3,883.27","$36,250.00","$45,850.00",101%,92%,9,13,32,115,32,73,$399.00 above,"",On,0.8%,"14,941",123,"$39,900.00","-$2,614.73","$34,500.00","-$8,014.73",$827.00 below,$417.00 above
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34497,WBA53FJ04SCU14668,Green,20,https://cdn.max.auto/102612/WBA53FJ04SCU14668/68b62ca1085a2841a91fe6fe.jpg,S,Oil Change|BMW CPO,"",45,0,0,0,1,"6,131",Retail,Blue,"$59,998.00",2025-10-09T06:53:00.000Z,"","$58,916.90","$1,081.10","$46,875.00","$56,575.00",103%,101%,6,6,26,34,70,49,"$1,615.00 above","",On,0.5%,"22,822",121,"$44,300.00","-$14,616.90","$41,975.00","-$16,941.90","$6,473.00 above",""
2017,Toyota,RAV4 Hybrid,XLE,AWD,SUV,No,"",B35396B,JTMRJREV0HD095564,Red,20,https://cdn.max.auto/102612/JTMRJREV0HD095564/68b9fe3b085a2841a979509a.jpg,S,Oil Change,"",45,0,0,0,2,"95,853",Retail,Blue,"$18,298.00",2025-10-09T06:54:00.000Z,"","$17,805.85",$492.15,"$14,800.00","$17,800.00","","","","","","","","","","",On,1.9%,"9,405",175,"$15,650.00","-$2,155.85","$14,150.00","-$3,655.85",$702.00 below,$610.00 above
2026,BMW,M5, ,AWD,Sedan,No,"",B35617,WBS83FK03TCW17351,Green,13,https://cdn.max.auto/102612/WBS83FK03TCW17351/68d2e3eec34e3766272b1aa0.jpg,S,,"",41,0,0,0,3,19,Retail,Non-Color,"$147,405.00","","$147,405.00","$138,080.00","$9,325.00","","",112%,105%,10,10,10,10,60,60,"$16,087.00 above",$0.00 below,On,18.6%,"14,854","2,760","","","","","",""
2018,Lexus,RX,,AWD,SUV,No,"",B35449A,2T2BZMCA6JC153088,Red,20,https://cdn.max.auto/102612/2T2BZMCA6JC153088/68bf0bdd085a2841a9d3e555.jpg,S,Oil Change,"",43,0,0,0,3,"54,937",Retail,White,"$29,298.00",2025-10-13T07:15:00.000Z,"","$29,846.21",-$548.21,"$26,025.00","$28,800.00",100%,101%,10,17,49,77,41,40,$121.00 below,"",On,2.4%,"29,932",729,"$25,000.00","-$4,846.21","$24,175.00","-$5,671.21",$827.00 below,$239.00 above
2022,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35585A,5UXCR6C04N9K18025,Green,20,https://cdn.max.auto/102612/5UXCR6C04N9K18025/68bd50f7085a2841a91762b8.jpg,S,Oil Change|BMW CPO,"",43,0,0,2,5,"37,610",Sold,Black,"$49,498.00",2025-10-02T13:02:00.000Z,"","$48,854.54",$643.46,"$37,625.00","$44,125.00",100%,99%,4,8,298,345,52,15,$95.00 below,"",On,4.6%,"7,510",345,"$40,100.00","-$8,754.54","$39,550.00","-$9,304.54","$2,252.00 below","$4,310.00 above"
2020,Volvo,XC90,Inscription,AWD,SUV,No,"",B35401A,YV4A22PL8L1611464,Yellow,20,https://cdn.max.auto/102612/YV4A22PL8L1611464/68bcaf1e085a2841a93d17d5.jpg,S,Alignment|Oil Change,"",43,0,0,0,0,"77,805",Retail,"","$28,998.00",2025-09-15T10:57:00.000Z,"","$28,257.17",$740.83,"$22,000.00","$26,675.00",103%,101%,22,39,110,175,50,61,$960.00 above,"",Off,0.0%,0,0,"$22,500.00","-$5,757.17","$22,225.00","-$6,032.17",$548.00 above,"$1,651.00 above"
2014,BMW,X1,xDrive28i,AWD,SUV,No,"",B35541A,WBAVL1C5XEVR95078,Red,20,https://cdn.max.auto/102612/WBAVL1C5XEVR95078/68c08402085a2841a9a46116.jpg,S,Oil Change,"",43,0,0,0,3,"78,959",Wholesale,Silver,$0.00,2025-09-17T08:53:00.000Z,"","$5,158.50","","$5,900.00","$9,975.00","","","","","","","","","","",On,0.0%,0,0,"$4,775.00",-$383.50,"$3,950.00","-$1,208.50","",""
2022,Mercedes-Benz,GLE,GLE 350,AWD,SUV,No,"",B35605A,4JGFB4KB0NA689061,Yellow,20,https://cdn.max.auto/102612/4JGFB4KB0NA689061/68bb7645085a2841a981f3c2.jpg,S,,"",42,1,0.1,1,3,"9,867",Retail,White,"$47,898.00",2025-10-02T13:03:00.000Z,"","$45,058.62","$2,839.38","$41,425.00","$49,900.00",93%,87%,2,9,220,340,53,29,"$3,598.00 below","",On,2.9%,"16,600",480,"$39,100.00","-$5,958.62","$40,850.00","-$4,208.62",$52.00 below,"$2,402.00 below"
2024,Acura,TLX,w/A-Spec Package,AWD,Sedan,No,"",B35360A,19UUB6F59RA001612,Yellow,20,https://cdn.max.auto/102612/19UUB6F59RA001612/68b8897b085a2841a9687834.jpg,S,Oil Change,"",42,0,0,0,1,"6,432",Retail,White,"$40,998.00",2025-10-03T10:17:00.000Z,"","$40,276.76",$721.24,"$38,725.00","$41,175.00",100%,98%,8,8,17,20,62,72,$24.00 below,"",On,2.9%,"11,428",330,"$39,200.00","-$1,076.76","$37,675.00","-$2,601.76","$3,727.00 below","$1,266.00 below"
2026,BMW,X5,xDrive50e,AWD,SUV,No,"",B35621,5UX43EU07T9176798,Green,13,https://cdn.max.auto/102612/5UX43EU07T9176798/68b8a566085a2841a9d44446.jpg,S,,"",41,1,0.1,0,4,4,Retail,White,"$83,925.00","","$83,925.00","$79,022.00","$4,903.00","","",101%,95%,22,34,269,347,53,46,$559.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35609,WBX73EF05T5417683,Green,12,https://cdn.max.auto/102612/WBX73EF05T5417683/68b7114c085a2841a908f14e.jpg,S,,"",41,1,0.1,0,3,12,Retail,Red,"$46,755.00","","$46,755.00","$44,457.00","$2,298.00","","",95%,91%,7,126,8,169,190,298,"$2,234.00 below",$0.00 below,On,14.9%,516,77,"","","","","",""
2026,BMW,X5,xDrive50e,AWD,SUV,No,"",B35620,5UX43EU01T9176957,Green,13,https://cdn.max.auto/102612/5UX43EU01T9176957/68bf27de085a2841a930b2ce.jpg,S,,"",39,0,0,0,6,4,Retail,Black,"$85,075.00","","$85,075.00","$80,092.00","$4,983.00","","",102%,96%,25,34,294,347,53,46,"$1,709.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35612,5UX53GP00T9171857,Green,12,https://cdn.max.auto/102612/5UX53GP00T9171857/68ba1a33085a2841a9dd47b3.jpg,S,,"",39,0,0,0,1,4,Retail,Blue,"$62,440.00","","$62,440.00","$59,042.00","$3,398.00","","",108%,102%,339,352,425,477,180,258,"$4,836.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X7,M60i,AWD,SUV,No,"",B35607,5UX33EM05T9169098,Green,9,https://cdn.max.auto/102612/5UX33EM05T9169098/68c1a44f085a2841a96f4b52.jpg,S,,"",39,0,0,0,3,14,Retail,Blue,"$128,530.00","","$128,530.00","$120,507.00","$8,023.00","","",106%,99%,13,13,112,112,56,78,"$6,945.00 above",$0.00 below,On,6.6%,"1,373",91,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35618,5UX53GP04T9171294,Green,13,https://cdn.max.auto/102612/5UX53GP04T9171294/68ba1a0c085a2841a9dcf6a4.jpg,S,,"",39,0,0,0,1,3,Retail,Blue,"$63,790.00","","$63,790.00","$60,297.00","$3,493.00","","",111%,105%,349,352,435,477,180,258,"$6,186.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,M2, ,RWD,Coupe,No,"",B35616,3MF23DM03S8F80013,Yellow,9,https://cdn.max.auto/102612/3MF23DM03S8F80013/68b8a56a085a2841a9d4579d.jpg,S,,"",41,0,0,0,2,19,Retail,Blue,"$79,000.00","","$79,000.00","$74,640.70","$4,359.30","","",107%,101%,8,8,10,10,32,55,"$5,051.00 above",$0.00 below,On,9.2%,"13,647","1,260","","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35610,WBX73EF09T5427276,Green,13,https://cdn.max.auto/102612/WBX73EF09T5427276/68b8a566085a2841a9d4465a.jpg,S,,"",41,0,0,0,0,6,Retail,Silver,"$49,255.00","","$49,255.00","$46,782.00","$2,473.00","","",101%,95%,78,126,98,169,190,298,$266.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,4 Series,430i xDrive,AWD,Sedan,No,"",B35604,WBA33FB03TFV64535,Green,13,https://cdn.max.auto/102612/WBA33FB03TFV64535/68c1c3e9085a2841a9ca2798.jpg,S,,"",41,0,0,0,0,9,Retail,Gray,"$63,125.00","","$63,125.00","$59,810.70","$3,314.30","","",105%,100%,9,9,36,102,65,51,"$3,022.00 above",$0.00 below,On,9.3%,"1,811",168,"","","","","",""
2016,BMW,X1,xDrive28i,AWD,SUV,No,"",B35598A,WBXHT3C34G5E49315,Red,0,"",S,,"",41,0,0,0,0,"166,285",Wholesale,"",$0.00,"","","$4,700.00","","$3,400.00","$6,550.00","","",0,5,0,17,67,112,"","",On,0.0%,0,0,"$2,500.00","-$2,200.00","$3,675.00","-$1,025.00","",""
2019,BMW,X3,xDrive30i,AWD,SUV,No,"",BN28887,5UXTR9C50KLE12789,Yellow,20,https://cdn.max.auto/102612/5UXTR9C50KLE12789/68bc931f085a2841a9fdddc5.jpg,S,Oil Change,"",42,1,0.1,1,3,"63,044",Retail,White,"$22,498.00",2025-10-06T14:05:00.000Z,"","$21,775.87",$722.13,"$17,625.00","$21,775.00",100%,97%,9,23,24,39,37,32,$61.00 below,"",On,2.3%,"9,035",205,"$17,550.00","-$4,225.87","$16,225.00","-$5,550.87",$248.00 above,"$2,669.00 above"
2023,BMW,X3,xDrive30i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BN28886,5UX53DP07P9N94021,Green,20,https://cdn.max.auto/102612/5UX53DP07P9N94021/68b8897a085a2841a9685a75.jpg,S,Oil Change|BMW CPO,"",44,0,0,0,2,"26,485",Retail,Black,"$37,798.00",2025-10-10T06:29:00.000Z,"","$36,233.75","$1,564.25","$33,000.00","$38,775.00",98%,94%,7,17,53,135,53,53,$834.00 below,"",On,1.2%,"18,348",228,"$32,300.00","-$3,933.75","$30,125.00","-$6,108.75","$2,877.00 below",$224.00 below
2023,BMW,i4,eDrive35,RWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),B35556A,WBY43AW09PFP49309,Green,20,https://cdn.max.auto/102612/WBY43AW09PFP49309/68b9e1f6085a2841a90a81de.jpg,S,BMW CPO,"",46,0,0,0,1,"42,717",Retail,Black,"$31,498.00",2025-10-08T10:40:00.000Z,"","$30,853.55",$644.45,"$23,175.00","$29,850.00",105%,103%,7,8,40,323,44,55,"$1,425.00 above","",On,6.1%,"6,596",401,"$25,800.00","-$5,053.55","$22,250.00","-$8,603.55",$498.00 above,"$1,123.00 below"
2006,Toyota,Highlander Hybrid,LTD,4WD,SUV,No,"",B35571A,JTEEW21A560026444,Red,0,"",S,,"",43,0,0,0,0,"220,900",Wholesale,Blue,$0.00,"","","$2,700.00","","$1,450.00","$5,850.00","","",0,8,0,8,80,80,"","",On,0.0%,0,0,$875.00,"-$1,825.00","$1,825.00",-$875.00,"",""
2011,Acura,TL,Tech HPT Auto,AWD,Sedan,No,"",B35441A,19UUA9F50BA003050,Red,0,"",S,,"",41,0,0,0,0,"116,031",Wholesale,"",$0.00,"","","$6,200.00","","$7,375.00","$10,175.00","","","","","","","","","","",On,0.0%,0,0,"$5,400.00",-$800.00,"$4,050.00","-$2,150.00","",""
2022,BMW,X3,xDrive30i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BN28888,WBX57DP08NN171171,Green,20,https://cdn.max.auto/102612/WBX57DP08NN171171/68bb56b9085a2841a922fc43.jpg,S,Oil Change|BMW CPO,"",39,0,0,0,0,"48,953",Retail,White,"$33,498.00",2025-10-06T07:11:00.000Z,"","$32,424.30","$1,073.70","$26,575.00","$31,775.00",101%,98%,6,6,243,517,37,28,$334.00 above,"",On,17.3%,243,42,"$26,300.00","-$6,124.30","$25,125.00","-$7,299.30","$2,127.00 below","$1,455.00 above"
2023,Land Rover,Defender,S,AWD,SUV,No,"",B35032A,SALEJFEUXP2186736,Yellow,20,https://cdn.max.auto/102612/SALEJFEUXP2186736/68bcaf28085a2841a93d21cf.jpg,S,Oil Change,"",39,2,0.3,2,6,"42,081",Retail,White,"$51,898.00",2025-10-06T14:05:00.000Z,"","$48,610.00","$3,288.00","$45,075.00","$53,150.00","","","","","","","","","","",On,4.5%,"29,884","1,330","$47,400.00","-$1,210.00","$44,125.00","-$4,485.00","$3,252.00 below","$5,407.00 below"
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35625,5UX53GP08T9178233,Green,12,https://cdn.max.auto/102612/5UX53GP08T9178233/68c0bfce085a2841a96f8c57.jpg,S,,"",35,1,0.1,0,2,3,Retail,Gray,"$58,090.00","","$58,090.00","$55,002.00","$3,088.00","","",101%,95%,219,352,270,477,180,258,$486.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35626,5UX53GP0XT9171817,Green,9,https://cdn.max.auto/102612/5UX53GP0XT9171817/68c02c31085a2841a96aa531.jpg,S,,"",35,0,0,0,0,6,Retail,Red,"$61,440.00","","$61,440.00","$58,112.00","$3,328.00","","",107%,101%,323,352,405,477,180,258,"$3,836.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X2,xDrive28i,AWD,SUV,No,"",B35627,WBX63GM05T5425034,Green,12,https://cdn.max.auto/102612/WBX63GM05T5425034/68bb56b4085a2841a922e7c1.jpg,S,,"",38,0,0,0,0,5,Retail,Gray,"$51,020.00","","$51,020.00","$48,432.00","$2,588.00","","",102%,96%,9,11,11,14,63,83,$790.00 above,$0.00 below,On,4.6%,757,35,"","","","","",""
2024,BMW,X3,xDrive30i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BN28890,5UX53DP07R9V39457,Green,20,https://cdn.max.auto/102612/5UX53DP07R9V39457/68bc9320085a2841a9fddf71.jpg,S,Oil Change|BMW CPO,"",38,0,0,0,2,"15,830",Sold,Gray,"$44,798.00",2025-10-13T07:08:00.000Z,"","$44,948.04",-$150.04,"$37,700.00","$42,725.00",100%,101%,10,20,35,71,46,26,$107.00 above,"",On,1.7%,"8,167",137,"$36,800.00","-$8,148.04","$33,150.00","-$11,798.04",$502.00 below,"$6,404.00 above"
2023,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),B35568A,WBA13BJ07PWX96904,Green,20,https://cdn.max.auto/102612/WBA13BJ07PWX96904/68c01388085a2841a91d82cf.jpg,S,Oil Change|BMW CPO,"",37,0,0,0,3,"27,527",Retail,Gray,"$41,498.00",2025-10-07T05:47:00.000Z,"","$40,692.29",$805.71,"$33,975.00","$39,400.00",103%,101%,14,17,75,180,61,57,"$1,165.00 above","",On,3.3%,"6,490",215,"$34,000.00","-$6,692.29","$33,000.00","-$7,692.29",$702.00 below,$112.00 below
2020,BMW,X3,xDrive30i,AWD,SUV,No,"",B35480A,5UXTY5C0XL9D58416,Yellow,20,https://cdn.max.auto/102612/5UXTY5C0XL9D58416/68c1e396085a2841a944977b.jpg,S,,"",37,2,0.3,0,2,"81,725",Retail,White,"$21,398.00",2025-10-13T07:24:00.000Z,"","$20,436.33",$961.67,"$16,750.00","$20,825.00",100%,95%,4,10,4,45,37,56,$23.00 below,"",On,3.1%,"5,415",168,"$16,850.00","-$3,586.33","$15,675.00","-$4,761.33",$702.00 below,$932.00 above
2025,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34559,3MW89CW02S8F17257,Green,20,https://cdn.max.auto/102612/3MW89CW02S8F17257/68bf27e1085a2841a930de57.jpg,S,Oil Change|BMW CPO,"",37,1,0.1,1,4,"5,753",Retail,White,"$46,498.00",2025-10-07T05:48:00.000Z,"","$41,415.72","$5,082.28","$36,625.00","$46,250.00",99%,88%,5,10,20,93,35,56,$576.00 below,"",On,1.4%,"19,177",264,"$40,400.00","-$1,015.72","$34,650.00","-$6,765.72",$727.00 below,$280.00 above
2023,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BN28891,5UXCR6C00P9N64124,Green,20,https://cdn.max.auto/102612/5UXCR6C00P9N64124/68c32852efebf4d9d8cbb164.jpg,S,Oil Change|BMW CPO,"",35,1,0.1,1,3,"43,753",Sold,White,"$47,498.00",2025-10-09T07:02:00.000Z,"","$43,472.00","$4,026.00","$36,925.00","$45,325.00",99%,91%,7,17,42,147,70,77,$534.00 below,"",On,1.0%,"1,246",13,"$38,100.00","-$5,372.00","$36,750.00","-$6,722.00","$4,802.00 below","$2,146.00 above"
2025,BMW,i5,xDrive40,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34296,WBY13HG06SCT07463,Green,20,https://cdn.max.auto/102612/WBY13HG06SCT07463/68c3290a3c3c0badc60ba74e.jpg,S,BMW CPO,"",35,1,0.1,1,6,"5,594",Retail,Blue,"$64,998.00",2025-10-09T07:02:00.000Z,"","$59,080.91","$5,917.09","$45,925.00","$64,775.00",96%,87%,5,15,28,96,42,52,"$3,021.00 below","",On,2.3%,"2,851",65,"$51,000.00","-$8,080.91","$48,750.00","-$10,330.91","$2,798.00 above",""
2023,GMC,Yukon XL,Denali Ultimate,4WD,SUV,No,"",B35428A,1GKS2KKL7PR338706,Yellow,20,https://cdn.max.auto/102612/1GKS2KKL7PR338706/68c1a44f085a2841a96f50a4.jpg,S,Oil Change,"",37,0,0,0,0,"31,100",Other,Black,$0.00,2025-10-06T07:10:00.000Z,"","$77,199.35","","$67,700.00","$74,375.00","","",0,7,0,899,44,22,"","",Off,5.1%,686,35,"$68,900.00","-$8,299.35","$67,400.00","-$9,799.35","",""
2025,BMW,iX,xDrive50,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34527,WB523CF01SCU20002,Green,20,https://cdn.max.auto/102612/WB523CF01SCU20002/68c82e1ee7b14665e1379be3.jpg,S,BMW CPO,"",35,0,0,0,3,"7,544",Retail,White,"$81,998.00",2025-10-09T07:03:00.000Z,"","$76,910.29","$5,087.71","$53,000.00","$79,975.00",100%,94%,5,6,132,308,50,30,$253.00 below,"",On,1.0%,"10,025",97,"$59,200.00","-$17,710.29","","","$8,223.00 above","$11,191.00 above"
2023,BMW,X5,xDrive40i,AWD,SUV,No,"",BN28893,5UXCR6C03P9P21290,Green,20,https://cdn.max.auto/102612/5UXCR6C03P9P21290/68c32731322d8fba9fd43382.jpg,S,Oil Change|BMW CPO,"",35,0,0,0,2,"29,951",Retail,White,"$49,798.00",2025-10-09T07:04:00.000Z,"","$47,923.52","$1,874.48","$40,575.00","$50,175.00",100%,97%,12,29,790,1392,51,37,$153.00 above,"",On,1.0%,"1,742",18,"$41,400.00","-$6,523.52","$42,200.00","-$5,723.52","$5,427.00 below","$3,931.00 above"
2025,BMW,X2,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34481,WBX63GM06S5170425,Green,20,https://cdn.max.auto/102612/WBX63GM06S5170425/68c5b148bbe78c13fc7053dc.jpg,S,Oil Change|BMW CPO,"",35,0,0,0,0,"8,736",Retail,Red,"$46,298.00",2025-10-09T07:12:00.000Z,"","$43,226.85","$3,071.15","$36,175.00","$43,150.00",104%,97%,5,5,224,389,47,41,"$1,815.00 above","",On,0.0%,0,0,"$39,700.00","-$3,526.85","$35,900.00","-$7,326.85","$6,577.00 below","$7,306.00 above"
